userName,content,at,score
akmaluddin badrut tamam,baik,2023-06-10 17:57:55,5
evander Vander,good deh,2023-06-10 17:52:46,5
Hari Gojek,sy kecewa sm lazada...paket sy pake jasa yg lain ...paket padahal sdh di bandung tp msh blm dikirim...kenapa tdk pake kurir lex aja...biar cepat..,2023-06-10 17:51:34,1
Irham Iam,Ok,2023-06-10 17:48:39,5
Dhito Muardi,mantap,2023-06-10 17:45:42,5
Anjazz,aplikasi yg sangat berguna,2023-06-10 17:45:22,5
Yohan Wiyadi,mantap,2023-06-10 17:44:24,4
DONI ARFAN Kakang,baik,2023-06-10 17:41:25,5
Ismail Hasan,jos,2023-06-10 17:38:32,1
Marselo Kontak,Up lumayan,2023-06-10 17:37:43,4
Hayatun Nufus,"Kenapa paylater nya gak bisa dipake ya??? Padahal cicilan Akulaku&Lazada udh Lunas semua..sebulan sebelum jatoh tempo udh saya bayar.. saya Rajin bgt bayar utang padahal,, tp knp dipersulit paylater nya!!!",2023-06-10 17:34:38,3
Sabila Mula Prawiro,Terbaik promo teruss,2023-06-10 17:32:58,5
Fathir alfath,"Saya tidak suka dengan aplikasi ini, kalau iklan trus muncul",2023-06-10 17:30:03,1
Muhammad Adhidevan,harganya beda🙈pas di buka malah lebih mahal🙈,2023-06-10 17:28:45,3
Alif Agzal,bagus,2023-06-10 17:23:50,5
Adam Rifai,topp,2023-06-10 17:23:13,5
Tatik Har,bagus,2023-06-10 17:22:07,1
Niaa Angels,"Asik si belanja di lazada,ga ribet. Yg sebel dongkol kalo pas search pencarian di google trus buka halaman yg di cari,terutama pas mau download film pasti tiba di alihin ke lazadaa!!!! Annoying bgt!!!!",2023-06-10 17:18:16,2
Aiko Vadel,Halo lazada...tolong aplikasi playlater dihapus aja....akhir2 ini aplikasinya kaya dibajak...dan dak ada respon untuk komplain,2023-06-10 17:18:03,2
Ripal doo,aplikasinya bagus banget😅,2023-06-10 17:16:52,5
Nurrima Susan,ok,2023-06-10 17:16:22,5
Plg Legend,Kalo mau belanja hanya Disni saya besty,2023-06-10 17:16:10,4
Rohmangans Rohmangans,Iklan lu ganggu aja?!!!!!,2023-06-10 17:14:22,1
Muhamad Abdullah,apk yang lumayan memudahkan masyarakat dalam belanja,2023-06-10 17:13:08,5
Setan Monyet,jos,2023-06-10 17:10:10,5
Santy Mahruz,👍👍👍,2023-06-10 17:08:01,4
Saipin R,pengiriman agar dipercepat kembali,2023-06-10 17:04:13,4
Asep Fratama,Tolong dong Lazada payleter nya di perbaiki lagi.....?,2023-06-10 17:03:58,5
Sylvia Lestari,"Banyak iklan, tidak di klik tiba2 masuk ke apk/gp. Sangat mengganggu. Annoying",2023-06-10 16:58:39,1
Sanji Pramuda,bagus,2023-06-10 16:50:55,5
